safra,municipio,regiao,chuva_total,temp_media,temp_min_media,et0_total,dias_sem_chuva,tendencia,produtividade_sc_ha
2003,rio_paranaiba,Alto Paranaiba,1283.8,27.658791208791207,19.413736263736265,751.86,43,2,54.8
2003,sete_lagoas,Central,1223.7,28.064835164835166,19.417582417582416,813.59,66,2,54.8
2003,uberaba,Triangulo,1363.3,28.962637362637363,20.681868131868132,831.76,38,2,54.8
2003,uberlandia,Triangulo,1206.4,28.22252747252747,19.914835164835164,806.83,37,2,54.8
2003,vicosa,Zona da Mata,1042.1,27.24615384615385,19.421978021978024,748.14,61,2,54.8
2004,alfenas,Sul de Minas,885.2,26.102185792349726,18.308196721311475,701.99,45,3,69.3
2004,araxa,Triangulo,964.2,25.912021857923495,17.949180327868852,717.14,37,3,69.3
2004,brasilania_minas,Noroeste,930.5,29.38360655737705,21.191256830601095,828.85,61,3,69.3
2004,carmo_paranaiba,Alto Paranaiba,1001.4,25.57486338797814,17.497814207650272,698.98,27,3,69.3
2004,ituiutaba,Triangulo,1050.6,29.20054644808743,21.24535519125683,807.64,33,3,69.3
2004,joao_pinheiro,Noroeste,1078.8,27.79617486338798,19.717486338797816,781.22,38,3,69.3
2004,lavras,Sul de Minas,972.6,25.567759562841527,17.159562841530054,702.28,41,3,69.3
2004,muriae,Zona da Mata,1323.9,28.2120218579235,20.227322404371584,702.48,43,3,69.3
2004,para_de_minas,Central,1078.9,26.3568306010929,18.1448087431694,759.28,41,3,69.3
2004,paracatu,Noroeste,1359.5,28.11639344262295,20.091256830601093,765.06,35,3,69.3
2004,passos,Sul de Minas,965.2,27.03934426229508,18.612021857923498,742.5,41,3,69.3
2004,patos_de_minas,Alto Paranaiba,1111.8,26.429508196721315,18.338797814207652,712.59,31,3,69.3
2004,pocos_de_caldas,Sul de Minas,1360.7,24.113661202185792,16.317486338797814,689.3,27,3,69.3
2004,pompeu,Central,1279.4,27.855737704918035,19.756830601092897,788.93,46,3,69.3
2004,presidente_olegario,Alto Paranaiba,1111.8,26.44808743169399,18.483060109289617,713.52,31,3,69.3
2004,rio_paranaiba,Alto Paranaiba,1139.3,26.508196721311474,18.528415300546445,701.33,32,3,69.3
2004,sete_lagoas,Central,1128.3,27.139344262295083,18.687978142076503,783.55,45,3,69.3
2004,uberaba,Triangulo,1303.9,27.737158469945353,19.798907103825137,783.14,33,3,69.3
2004,uberlandia,Triangulo,1140.7,27.132786885245903,19.2327868852459,755.41,36,3,69.3
2004,vicosa,Zona da Mata,1103.5,25.957377049180327,18.404371584699454,678.18,38,3,69.3
2005,alfenas,Sul de Minas,1116.8,26.104945054945055,18.34285714285714,692.79,41,4,65.7
2005,araxa,Triangulo,952.7,26.29945054945055,18.189560439560438,728.29,32,4,65.7
2005,brasilania_minas,Noroeste,779.0,30.00384615384615,21.63736263736264,869.8,64,4,65.7
2005,carmo_paranaiba,Alto Paranaiba,1000.9,26.28516483516483,17.9989010989011,730.1,28,4,65.7
2005,ituiutaba,Triangulo,1087.4,29.48186813186813,21.356593406593408,817.4,37,4,65.7
2005,joao_pinheiro,Noroeste,1061.8,28.364835164835164,20.24120879120879,833.7,43,4,65.7
2005,lavras,Sul de Minas,1019.9,25.68076923076923,17.315934065934066,700.43,43,4,65.7
2005,muriae,Zona da Mata,1367.0,28.592307692307692,20.575824175824177,706.29,43,4,65.7
2005,para_de_minas,Central,939.4,26.884065934065934,18.57857142857143,783.12,47,4,65.7
2005,paracatu,Noroeste,1030.9,28.988461538461536,20.660989010989013,825.83,40,4,65.7
2005,passos,Sul de Minas,1037.5,27.162087912087912,18.77857142857143,745.63,39,4,65.7
2005,patos_de_minas,Alto Paranaiba,1139.0,27.20934065934066,18.875274725274725,759.32,30,4,65.7
2005,pocos_de_caldas,Sul de Minas,1636.9,23.951098901098902,16.184615384615384,680.53,32,4,65.7
2005,pompeu,Central,1058.9,28.491208791208788,20.384615384615383,820.0,51,4,65.7
2005,presidente_olegario,Alto Paranaiba,1139.0,27.21868131868132,19.06758241758242,761.38,30,4,65.7
2005,rio_paranaiba,Alto Paranaiba,1133.8,27.163736263736265,18.97087912087912,722.53,31,4,65.7
2005,sete_lagoas,Central,1042.7,27.73186813186813,19.135714285714286,805.67,50,4,65.7
2005,uberaba,Triangulo,1379.3,27.977472527472525,19.8989010989011,798.64,30,4,65.7
2005,uberlandia,Triangulo,1356.9,27.530769230769234,19.395604395604394,779.77,34,4,65.7
2005,vicosa,Zona da Mata,929.6,26.451098901098902,18.885714285714286,692.21,34,4,65.7
2006,alfenas,Sul de Minas,911.4,26.658791208791207,18.736263736263737,724.79,46,5,71.2
2006,araxa,Triangulo,938.8,26.384065934065934,18.376923076923077,736.01,46,5,71.2
2006,brasilania_minas,Noroeste,979.4,29.568681318681318,21.42912087912088,852.57,70,5,71.2
2006,carmo_paranaiba,Alto Paranaiba,1042.9,26.123076923076923,18.00714285714286,729.97,57,5,71.2
2006,ituiutaba,Triangulo,1252.8,29.304945054945055,21.47142857142857,795.54,30,5,71.2
2006,joao_pinheiro,Noroeste,1120.6,27.897802197802196,20.06153846153846,799.49,60,5,71.2
2006,lavras,Sul de Minas,812.6,26.227472527472525,17.52747252747253,743.26,48,5,71.2
2006,muriae,Zona da Mata,884.6,29.56153846153846,20.932967032967035,783.62,52,5,71.2
2006,para_de_minas,Central,789.8,26.84065934065934,18.603296703296703,788.63,59,5,71.2
2006,paracatu,Noroeste,1497.3,28.355494505494505,20.153846153846153,793.02,56,5,71.2
2006,passos,Sul de Minas,935.5,27.375274725274725,18.96098901098901,761.15,38,5,71.2
2006,patos_de_minas,Alto Paranaiba,1130.8,26.900000000000002,18.75879120879121,742.53,53,5,71.2
2006,pocos_de_caldas,Sul de Minas,1422.8,24.34285714285714,16.7510989010989,691.91,23,5,71.2
2006,pompeu,Central,910.5,28.435714285714287,20.282967032967033,827.24,61,5,71.2
2006,presidente_olegario,Alto Paranaiba,1130.8,26.876923076923077,18.95824175824176,743.13,53,5,71.2
2006,rio_paranaiba,Alto Paranaiba,1093.0,27.09010989010989,19.025824175824173,731.57,50,5,71.2
2006,sete_lagoas,Central,875.4,27.893406593406596,19.232417582417582,826.55,59,5,71.2
2006,uberaba,Triangulo,1427.0,28.123626373626372,20.177472527472528,786.99,28,5,71.2
2006,uberlandia,Triangulo,1187.1,27.404945054945053,19.463186813186812,760.91,33,5,71.2
2006,vicosa,Zona da Mata,666.2,27.074175824175825,18.96868131868132,754.39,58,5,71.2
2007,alfenas,Sul de Minas,1095.2,26.181868131868132,18.87857142857143,672.61,46,6,67.9
2007,araxa,Triangulo,1208.1,25.55989010989011,18.13681318681319,654.61,33,6,67.9
2007,brasilania_minas,Noroeste,1073.1,28.435714285714287,20.8489010989011,745.36,55,6,67.9
2007,carmo_paranaiba,Alto Paranaiba,1260.8,25.186263736263733,17.635714285714286,643.02,25,6,67.9
2007,ituiutaba,Triangulo,1305.6,28.571428571428573,21.175274725274726,729.41,36,6,67.9
2007,joao_pinheiro,Noroeste,1150.1,26.853846153846153,19.591758241758242,695.69,36,6,67.9
2007,lavras,Sul de Minas,1092.5,25.692857142857147,17.65164835164835,677.09,40,6,67.9
2007,muriae,Zona da Mata,1209.7,28.61703296703297,20.943956043956046,694.25,46,6,67.9
2007,para_de_minas,Central,1079.0,25.96868131868132,18.375274725274725,699.0600000000001,30,6,67.9
2007,paracatu,Noroeste,1491.1,27.403846153846153,19.905494505494506,692.61,27,6,67.9
2007,passos,Sul de Minas,1244.1,26.78131868131868,18.94945054945055,693.54,41,6,67.9
2007,patos_de_minas,Alto Paranaiba,1302.5,25.891758241758243,18.400549450549452,651.67,25,6,67.9
2007,pocos_de_caldas,Sul de Minas,1513.3,24.04725274725275,16.806043956043954,648.79,26,6,67.9
2007,pompeu,Central,1331.9,27.341208791208793,19.905494505494506,722.7,33,6,67.9
2007,presidente_olegario,Alto Paranaiba,1302.5,25.903846153846153,18.614835164835167,651.76,25,6,67.9
2007,rio_paranaiba,Alto Paranaiba,1362.7,26.163736263736265,18.683516483516485,643.05,24,6,67.9
2007,sete_lagoas,Central,1130.4,26.73076923076923,18.86208791208791,718.28,38,6,67.9
2007,uberaba,Triangulo,1577.3,27.31648351648352,19.936263736263736,721.28,34,6,67.9
2007,uberlandia,Triangulo,1402.9,26.531868131868134,19.20054945054945,684.27,30,6,67.9
2007,vicosa,Zona da Mata,1028.2,26.008791208791212,18.948901098901096,646.7,43,6,67.9
2008,alfenas,Sul de Minas,1001.5,26.674863387978142,18.770491803278688,740.37,43,7,73.5
2008,araxa,Triangulo,1034.4,26.449180327868852,18.230601092896173,744.24,44,7,73.5
2008,brasilania_minas,Noroeste,888.8,30.260655737704916,21.59016393442623,919.03,67,7,73.5
2008,carmo_paranaiba,Alto Paranaiba,919.3,26.303825136612023,17.955737704918032,756.07,46,7,73.5
2008,ituiutaba,Triangulo,1145.2,29.443169398907106,21.450819672131146,812.78,32,7,73.5
2008,joao_pinheiro,Noroeste,888.4,28.56120218579235,20.15737704918033,861.86,49,7,73.5
2008,lavras,Sul de Minas,1118.5,26.139344262295083,17.46830601092896,746.63,40,7,73.5
2008,muriae,Zona da Mata,1041.3,29.181967213114756,20.650819672131146,771.07,47,7,73.5
2008,para_de_minas,Central,881.2,27.279781420765026,18.663387978142076,832.7,50,7,73.5
2008,paracatu,Noroeste,1157.0,29.106010928961748,20.379234972677597,853.56,46,7,73.5
2008,passos,Sul de Minas,1233.0,27.482513661202187,18.982513661202187,771.78,34,7,73.5
2008,patos_de_minas,Alto Paranaiba,1035.4,27.091256830601093,18.710928961748632,771.19,38,7,73.5
2008,pocos_de_caldas,Sul de Minas,1428.6,24.366666666666667,16.679234972677598,708.13,37,7,73.5
2008,pompeu,Central,1012.3,28.838797814207652,20.396174863387976,869.78,55,7,73.5
2008,presidente_olegario,Alto Paranaiba,1035.4,27.168306010928962,18.906557377049182,774.1,38,7,73.5
2008,rio_paranaiba,Alto Paranaiba,1141.6,27.25245901639344,18.960109289617485,753.84,39,7,73.5
2008,sete_lagoas,Central,926.9,28.284153005464482,19.218032786885246,869.28,60,7,73.5
2008,uberaba,Triangulo,1464.2,27.994535519125684,19.981967213114753,788.21,33,7,73.5
2008,uberlandia,Triangulo,1213.9,27.3896174863388,19.359562841530057,766.79,40,7,73.5
2008,vicosa,Zona da Mata,927.6,26.91857923497268,18.89344262295082,750.03,54,7,73.5
2009,alfenas,Sul de Minas,1141.2,26.37087912087912,18.825274725274724,682.79,33,8,70.8
2009,araxa,Triangulo,1157.9,26.383516483516484,18.325824175824177,720.78,33,8,70.8
2009,brasilania_minas,Noroeste,1017.7,29.993406593406593,21.407692307692308,869.59,63,8,70.8
2009,carmo_paranaiba,Alto Paranaiba,1097.1,26.22142857142857,18.040109890109893,723.35,36,8,70.8
2009,ituiutaba,Triangulo,1193.1,29.603846153846153,21.400000000000002,821.49,38,8,70.8
2009,joao_pinheiro,Noroeste,1119.2,28.30054945054945,20.09065934065934,825.63,52,8,70.8
2009,lavras,Sul de Minas,1346.4,25.796153846153842,17.70824175824176,677.17,34,8,70.8
2009,muriae,Zona da Mata,1521.3,28.554945054945055,20.818681318681318,680.8,34,8,70.8
2009,para_de_minas,Central,1333.4,26.67142857142857,18.74120879120879,750.4,39,8,70.8
2009,paracatu,Noroeste,1191.0,28.923626373626377,20.445054945054945,824.34,52,8,70.8
2009,passos,Sul de Minas,1217.2,27.334065934065936,19.051098901098904,729.29,25,8,70.8
2009,patos_de_minas,Alto Paranaiba,1153.3,27.15989010989011,18.854945054945055,754.0,40,8,70.8
2009,pocos_de_caldas,Sul de Minas,1727.1,24.165934065934064,16.67142857142857,666.59,22,8,70.8
2009,pompeu,Central,1362.0,28.494505494505493,20.406043956043955,808.55,43,8,70.8
2009,presidente_olegario,Alto Paranaiba,1153.3,27.24175824175824,19.037362637362637,758.21,40,8,70.8
2009,rio_paranaiba,Alto Paranaiba,1293.5,27.105494505494505,19.089010989010987,716.79,33,8,70.8
2009,sete_lagoas,Central,1361.3,27.608241758241757,19.28846153846154,784.77,52,8,70.8
2009,uberaba,Triangulo,1587.3,28.109340659340656,20.00714285714286,786.95,31,8,70.8
2009,uberlandia,Triangulo,1365.5,27.582967032967034,19.413736263736265,772.18,32,8,70.8
2009,vicosa,Zona da Mata,1372.0,26.254945054945054,19.04230769230769,655.22,34,8,70.8
2010,alfenas,Sul de Minas,882.1,27.274725274725274,19.54230769230769,727.44,47,9,77.6
2010,araxa,Triangulo,1022.7,26.68846153846154,18.88186813186813,731.96,31,9,77.6
2010,brasilania_minas,Noroeste,764.9,30.27307692307692,21.786263736263734,871.45,58,9,77.6
2010,carmo_paranaiba,Alto Paranaiba,985.0,26.40934065934066,18.43021978021978,731.85,32,9,77.6
2010,ituiutaba,Triangulo,1103.5,29.443956043956046,21.70769230769231,780.8,31,9,77.6
2010,joao_pinheiro,Noroeste,915.4,28.42967032967033,20.37802197802198,818.65,41,9,77.6
2010,lavras,Sul de Minas,990.2,26.646153846153847,18.32967032967033,726.96,39,9,77.6
2010,muriae,Zona da Mata,1021.6,30.24285714285714,21.74285714285714,791.24,51,9,77.6
2010,para_de_minas,Central,989.6,27.015934065934065,19.12087912087912,780.11,40,9,77.6
2010,paracatu,Noroeste,1086.9,28.865934065934066,20.665934065934064,809.02,33,9,77.6
2010,passos,Sul de Minas,952.9,28.018681318681317,19.73131868131868,771.6,32,9,77.6
2010,patos_de_minas,Alto Paranaiba,1099.1,27.16978021978022,19.138461538461538,750.56,26,9,77.6
2010,pocos_de_caldas,Sul de Minas,1396.0,24.854395604395606,17.4021978021978,690.05,22,9,77.6
2010,pompeu,Central,1036.3,28.63736263736264,20.747802197802198,823.91,39,9,77.6
2010,presidente_olegario,Alto Paranaiba,1099.1,27.192307692307693,19.293956043956044,752.23,26,9,77.6
2010,rio_paranaiba,Alto Paranaiba,1138.5,27.381318681318678,19.474725274725277,731.12,31,9,77.6
2010,sete_lagoas,Central,951.1,27.958791208791208,19.61098901098901,809.34,47,9,77.6
2010,uberaba,Triangulo,1366.3,28.295054945054943,20.502197802197802,774.62,20,9,77.6
2010,uberlandia,Triangulo,1012.9,27.533516483516486,19.78901098901099,751.75,27,9,77.6
2010,vicosa,Zona da Mata,847.1,27.46043956043956,19.658241758241758,747.44,47,9,77.6
2011,alfenas,Sul de Minas,1073.7,26.712637362637363,19.075274725274724,708.55,42,10,64.3
2011,araxa,Triangulo,1113.7,26.33956043956044,18.417032967032966,716.64,28,10,64.3
2011,brasilania_minas,Noroeste,1195.7,29.321428571428573,21.38186813186813,803.13,61,10,64.3
2011,carmo_paranaiba,Alto Paranaiba,1180.5,26.095054945054947,18.08956043956044,701.9399999999999,31,10,64.3
